timestamp,device_id,ied,object_reference,functional_constraint,value,unit,quality
2026-09-08T16:01:02.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,8.9,t,good
2026-09-08T16:01:02.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,19.55,m,good
2026-09-08T16:01:02.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,22.12,m/min,good
2026-09-08T16:01:02.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,54.9,°C,good
2026-09-08T16:01:02.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.89,mm/s,good
2026-09-08T16:01:12.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,9.13,t,good
2026-09-08T16:01:12.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,19.89,m,good
2026-09-08T16:01:12.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,22,m/min,good
2026-09-08T16:01:12.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,54.5,°C,good
2026-09-08T16:01:12.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.84,mm/s,good
2026-09-08T16:01:22.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,9.34,t,good
2026-09-08T16:01:22.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.12,m,good
2026-09-08T16:01:22.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,21.85,m/min,good
2026-09-08T16:01:22.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,54.1,°C,good
2026-09-08T16:01:22.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.8,mm/s,good
2026-09-08T16:01:32.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,9.52,t,good
2026-09-08T16:01:32.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.27,m,good
2026-09-08T16:01:32.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,21.68,m/min,good
2026-09-08T16:01:32.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,53.7,°C,good
2026-09-08T16:01:32.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.75,mm/s,good
2026-09-08T16:01:42.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,9.68,t,good
2026-09-08T16:01:42.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.34,m,good
2026-09-08T16:01:42.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,21.49,m/min,good
2026-09-08T16:01:42.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,53.3,°C,good
2026-09-08T16:01:42.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.71,mm/s,good
2026-09-08T16:01:52.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,9.82,t,good
2026-09-08T16:01:52.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.35,m,good
2026-09-08T16:01:52.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,21.29,m/min,good
2026-09-08T16:01:52.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,52.9,°C,good
2026-09-08T16:01:52.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.66,mm/s,good
2026-09-08T16:02:02.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,9.93,t,good
2026-09-08T16:02:02.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.31,m,good
2026-09-08T16:02:02.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,21.09,m/min,good
2026-09-08T16:02:02.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,52.5,°C,good
2026-09-08T16:02:02.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.62,mm/s,good
2026-09-08T16:02:12.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,10.02,t,good
2026-09-08T16:02:12.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.22,m,good
2026-09-08T16:02:12.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,20.87,m/min,good
2026-09-08T16:02:12.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,52.1,°C,good
2026-09-08T16:02:12.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.57,mm/s,good
2026-09-08T16:02:22.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,10.09,t,good
2026-09-08T16:02:22.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,20.11,m,good
2026-09-08T16:02:22.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,20.66,m/min,good
2026-09-08T16:02:22.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,51.7,°C,good
2026-09-08T16:02:22.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.53,mm/s,good
2026-09-08T16:02:32.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,10.15,t,good
2026-09-08T16:02:32.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,19.97,m,good
2026-09-08T16:02:32.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,20.43,m/min,good
2026-09-08T16:02:32.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,51.3,°C,good
2026-09-08T16:02:32.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.48,mm/s,good
2026-09-08T16:02:42.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,10.2,t,good
2026-09-08T16:02:42.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,19.81,m,good
2026-09-08T16:02:42.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,20.2,m/min,good
2026-09-08T16:02:42.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,50.8,°C,good
2026-09-08T16:02:42.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.43,mm/s,good
2026-09-08T16:02:52.487Z,2316-01,2316_IED_01,LD0/MMXU1.Load.mag.f,MX,10.24,t,good
2026-09-08T16:02:52.487Z,2316-01,2316_IED_01,LD0/GGIO1.AnIn1.mag.f,MX,19.64,m,good
2026-09-08T16:02:52.487Z,2316-01,2316_IED_01,LD0/MMXU1.Spd.mag.f,MX,19.95,m/min,good
2026-09-08T16:02:52.487Z,2316-01,2316_IED_01,LD0/TTMP1.Tmp.mag.f,MX,50.4,°C,good
2026-09-08T16:02:52.487Z,2316-01,2316_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.38,mm/s,good
