timestamp,device_id,quality,load_weight,trolley_position,crane_speed,motor_temperature,vibration
2026-09-08T15:58:02.481Z,2316-01,good,8.9,19.55,22.12,54.9,1.89
2026-09-08T15:58:12.481Z,2316-01,good,9.13,19.89,22,54.5,1.84
2026-09-08T15:58:22.481Z,2316-01,good,9.34,20.12,21.85,54.1,1.8
2026-09-08T15:58:32.481Z,2316-01,good,9.52,20.27,21.68,53.7,1.75
2026-09-08T15:58:42.481Z,2316-01,good,9.68,20.34,21.49,53.3,1.71
2026-09-08T15:58:52.481Z,2316-01,good,9.82,20.35,21.29,52.9,1.66
2026-09-08T15:59:02.481Z,2316-01,good,9.93,20.31,21.09,52.5,1.62
2026-09-08T15:59:12.481Z,2316-01,good,10.02,20.22,20.87,52.1,1.57
2026-09-08T15:59:22.481Z,2316-01,good,10.09,20.11,20.66,51.7,1.53
2026-09-08T15:59:32.481Z,2316-01,good,10.15,19.97,20.43,51.3,1.48
2026-09-08T15:59:42.481Z,2316-01,good,10.2,19.81,20.2,50.8,1.43
2026-09-08T15:59:52.481Z,2316-01,good,10.24,19.64,19.95,50.4,1.38
2026-09-08T16:00:02.481Z,2316-01,good,10.27,19.44,19.68,49.9,1.33
2026-09-08T16:00:12.481Z,2316-01,good,10.29,19.22,19.39,49.4,1.28
2026-09-08T16:00:22.481Z,2316-01,good,10.31,18.96,19.07,48.8,1.24
2026-09-08T16:00:32.481Z,2316-01,good,10.32,18.66,18.72,48.3,1.2
2026-09-08T16:00:42.481Z,2316-01,good,10.32,18.31,18.34,47.7,1.17
2026-09-08T16:00:52.481Z,2316-01,good,10.32,17.91,17.93,47.1,1.14
2026-09-08T16:01:02.481Z,2316-01,good,10.3,17.43,17.48,46.6,1.12
2026-09-08T16:01:12.481Z,2316-01,good,10.27,16.88,17.01,46,1.11
2026-09-08T16:01:22.481Z,2316-01,good,10.23,16.25,16.52,45.5,1.12
2026-09-08T16:01:32.481Z,2316-01,good,10.16,15.53,16.01,45.1,1.13
2026-09-08T16:01:42.481Z,2316-01,good,10.07,14.74,15.5,44.8,1.16
2026-09-08T16:01:52.481Z,2316-01,good,9.95,13.87,15,44.5,1.2
2026-09-08T16:02:02.481Z,2316-01,good,9.81,12.94,14.52,44.3,1.25
2026-09-08T16:02:12.481Z,2316-01,good,9.64,11.95,14.07,44.3,1.31
2026-09-08T16:02:22.481Z,2316-01,good,9.44,10.94,13.67,44.3,1.39
2026-09-08T16:02:32.481Z,2316-01,good,9.21,9.91,13.33,44.5,1.47
2026-09-08T16:02:42.481Z,2316-01,good,8.95,8.89,13.06,44.8,1.56
2026-09-08T16:02:52.481Z,2316-01,good,8.68,7.92,12.88,45.3,1.65
