timestamp,device_id,ied,object_reference,functional_constraint,value,unit,quality
2026-09-08T15:57:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1357.8,r/min,good
2026-09-08T15:57:22.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,89.6,°C,good
2026-09-08T15:57:22.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.43,mm/s,good
2026-09-08T15:57:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,21.44,MPa,good
2026-09-08T15:57:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,39.99,L/h,good
2026-09-08T15:57:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,235.12,kW,good
2026-09-08T15:57:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1380.1,r/min,good
2026-09-08T15:57:52.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,89.8,°C,good
2026-09-08T15:57:52.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.41,mm/s,good
2026-09-08T15:57:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,21.29,MPa,good
2026-09-08T15:57:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,39.47,L/h,good
2026-09-08T15:57:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,232.91,kW,good
2026-09-08T15:58:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1400.1,r/min,good
2026-09-08T15:58:22.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90,°C,good
2026-09-08T15:58:22.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.38,mm/s,good
2026-09-08T15:58:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,21.14,MPa,good
2026-09-08T15:58:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,38.97,L/h,good
2026-09-08T15:58:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,230.76,kW,good
2026-09-08T15:58:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1417.7,r/min,good
2026-09-08T15:58:52.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90.1,°C,good
2026-09-08T15:58:52.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.35,mm/s,good
2026-09-08T15:58:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.99,MPa,good
2026-09-08T15:58:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,38.48,L/h,good
2026-09-08T15:58:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,228.66,kW,good
2026-09-08T15:59:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1432.9,r/min,good
2026-09-08T15:59:22.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90.1,°C,good
2026-09-08T15:59:22.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.32,mm/s,good
2026-09-08T15:59:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.85,MPa,good
2026-09-08T15:59:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,38,L/h,good
2026-09-08T15:59:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,226.58,kW,good
2026-09-08T15:59:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1445.8,r/min,good
2026-09-08T15:59:52.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90.1,°C,good
2026-09-08T15:59:52.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.28,mm/s,good
2026-09-08T15:59:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.7,MPa,good
2026-09-08T15:59:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,37.52,L/h,good
2026-09-08T15:59:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,224.53,kW,good
2026-09-08T16:00:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1456.5,r/min,good
2026-09-08T16:00:22.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90.1,°C,good
2026-09-08T16:00:22.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.25,mm/s,good
2026-09-08T16:00:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.56,MPa,good
2026-09-08T16:00:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,37.04,L/h,good
2026-09-08T16:00:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,222.51,kW,good
2026-09-08T16:00:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1465.2,r/min,good
2026-09-08T16:00:52.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90,°C,good
2026-09-08T16:00:52.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.21,mm/s,good
2026-09-08T16:00:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.41,MPa,good
2026-09-08T16:00:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,36.54,L/h,good
2026-09-08T16:00:52.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,220.55,kW,good
2026-09-08T16:01:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1472.2,r/min,good
2026-09-08T16:01:22.500Z,2310-01,2310_IED_01,LD0/TTMP1.Tmp.mag.f,MX,90,°C,good
2026-09-08T16:01:22.500Z,2310-01,2310_IED_01,LD0/SVBR1.Vbr.mag.f,MX,3.17,mm/s,good
2026-09-08T16:01:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Pres.mag.f,MX,20.26,MPa,good
2026-09-08T16:01:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,36.04,L/h,good
2026-09-08T16:01:22.500Z,2310-01,2310_IED_01,LD0/MMXU1.TotW.mag.f,MX,218.68,kW,good
