timestamp,device_id,ied,object_reference,functional_constraint,value,unit,quality
2026-09-08T15:51:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,150.6,r/min,good
2026-09-08T15:51:52.460Z,2326-01,2326_IED_01,LD0/TTMP1.Tmp.mag.f,MX,57.8,°C,good
2026-09-08T15:51:52.460Z,2326-01,2326_IED_01,LD0/SVBR1.Vbr.mag.f,MX,2.1,mm/s,good
2026-09-08T15:51:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.HydPres.mag.f,MX,1.87,MPa,good
2026-09-08T15:51:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,31.49,m³/s,good
2026-09-08T15:51:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.TotW.mag.f,MX,21.75,MW,good
2026-09-08T15:52:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,150.9,r/min,good
2026-09-08T15:52:52.460Z,2326-01,2326_IED_01,LD0/TTMP1.Tmp.mag.f,MX,58,°C,good
2026-09-08T15:52:52.460Z,2326-01,2326_IED_01,LD0/SVBR1.Vbr.mag.f,MX,2.09,mm/s,good
2026-09-08T15:52:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.HydPres.mag.f,MX,1.86,MPa,good
2026-09-08T15:52:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,31.23,m³/s,good
2026-09-08T15:52:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.TotW.mag.f,MX,21.56,MW,good
2026-09-08T15:53:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,151.2,r/min,good
2026-09-08T15:53:52.460Z,2326-01,2326_IED_01,LD0/TTMP1.Tmp.mag.f,MX,58.1,°C,good
2026-09-08T15:53:52.460Z,2326-01,2326_IED_01,LD0/SVBR1.Vbr.mag.f,MX,2.07,mm/s,good
2026-09-08T15:53:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.HydPres.mag.f,MX,1.84,MPa,good
2026-09-08T15:53:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,30.98,m³/s,good
2026-09-08T15:53:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.TotW.mag.f,MX,21.38,MW,good
2026-09-08T15:54:52.460Z,2326-01,2326_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,151.5,r/min,good
2026-09-08T15:54:52.460Z,2326-01,2326_IED_01,LD0/TTMP1.Tmp.mag.f,MX,58.2,°C,good
2026-09-08T15:54:52.460Z,2326-01,2326_IED_01,LD0/SVBR1.Vbr.mag.f,MX,2.05,mm/s,good
