timestamp,device_id,ied,object_reference,functional_constraint,value,unit,quality
2026-09-08T15:51:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1454,r/min,good
2026-09-08T15:51:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.4,°C,good
2026-09-08T15:51:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.91,mm/s,good
2026-09-08T15:51:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.503,MPa,good
2026-09-08T15:51:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,87.13,m³/h,good
2026-09-08T15:51:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,34.43,kW,good
2026-09-08T15:52:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1456.3,r/min,good
2026-09-08T15:52:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.6,°C,good
2026-09-08T15:52:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.89,mm/s,good
2026-09-08T15:52:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.499,MPa,good
2026-09-08T15:52:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,86.53,m³/h,good
2026-09-08T15:52:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,34.2,kW,good
2026-09-08T15:53:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1458.4,r/min,good
2026-09-08T15:53:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.7,°C,good
2026-09-08T15:53:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.88,mm/s,good
2026-09-08T15:53:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.496,MPa,good
2026-09-08T15:53:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,85.96,m³/h,good
2026-09-08T15:53:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,33.98,kW,good
2026-09-08T15:54:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1460.2,r/min,good
2026-09-08T15:54:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.8,°C,good
2026-09-08T15:54:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.86,mm/s,good
2026-09-08T15:54:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.493,MPa,good
2026-09-08T15:54:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,85.41,m³/h,good
2026-09-08T15:54:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,33.75,kW,good
2026-09-08T15:55:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1461.8,r/min,good
2026-09-08T15:55:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.8,°C,good
2026-09-08T15:55:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.84,mm/s,good
2026-09-08T15:55:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.489,MPa,good
2026-09-08T15:55:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,84.86,m³/h,good
2026-09-08T15:55:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,33.54,kW,good
2026-09-08T15:56:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1463.2,r/min,good
2026-09-08T15:56:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.9,°C,good
2026-09-08T15:56:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.82,mm/s,good
2026-09-08T15:56:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.486,MPa,good
2026-09-08T15:56:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,84.31,m³/h,good
2026-09-08T15:56:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,33.32,kW,good
2026-09-08T15:57:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1464.3,r/min,good
2026-09-08T15:57:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.8,°C,good
2026-09-08T15:57:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.79,mm/s,good
2026-09-08T15:57:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.483,MPa,good
2026-09-08T15:57:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,83.76,m³/h,good
2026-09-08T15:57:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,33.11,kW,good
2026-09-08T15:58:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1465.2,r/min,good
2026-09-08T15:58:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.8,°C,good
2026-09-08T15:58:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.77,mm/s,good
2026-09-08T15:58:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.479,MPa,good
2026-09-08T15:58:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,83.19,m³/h,good
2026-09-08T15:58:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,32.9,kW,good
2026-09-08T15:59:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1465.9,r/min,good
2026-09-08T15:59:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.7,°C,good
2026-09-08T15:59:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.75,mm/s,good
2026-09-08T15:59:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.476,MPa,good
2026-09-08T15:59:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,82.62,m³/h,good
2026-09-08T15:59:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.TotW.mag.f,MX,32.7,kW,good
2026-09-08T16:00:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.RotSpd.mag.f,MX,1466.5,r/min,good
2026-09-08T16:00:52.474Z,2328-01,2328_IED_01,LD0/TTMP1.Tmp.mag.f,MX,47.6,°C,good
2026-09-08T16:00:52.474Z,2328-01,2328_IED_01,LD0/SVBR1.Vbr.mag.f,MX,1.72,mm/s,good
2026-09-08T16:00:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Pres.mag.f,MX,0.472,MPa,good
2026-09-08T16:00:52.474Z,2328-01,2328_IED_01,LD0/MMXU1.Flwrte.mag.f,MX,82.03,m³/h,good
