timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T15:33:52.467Z,2328-01,good,1454,47.4,1.91,0.503,87.13,34.43
2026-09-08T15:34:52.467Z,2328-01,good,1456.3,47.6,1.89,0.499,86.53,34.2
2026-09-08T15:35:52.467Z,2328-01,good,1458.4,47.7,1.88,0.496,85.96,33.98
2026-09-08T15:36:52.467Z,2328-01,good,1460.2,47.8,1.86,0.493,85.41,33.75
2026-09-08T15:37:52.467Z,2328-01,good,1461.8,47.8,1.84,0.489,84.86,33.54
2026-09-08T15:38:52.467Z,2328-01,good,1463.2,47.9,1.82,0.486,84.31,33.32
2026-09-08T15:39:52.467Z,2328-01,good,1464.3,47.8,1.79,0.483,83.76,33.11
2026-09-08T15:40:52.467Z,2328-01,good,1465.2,47.8,1.77,0.479,83.19,32.9
2026-09-08T15:41:52.467Z,2328-01,good,1465.9,47.7,1.75,0.476,82.62,32.7
2026-09-08T15:42:52.467Z,2328-01,good,1466.5,47.6,1.72,0.472,82.03,32.52
2026-09-08T15:43:52.467Z,2328-01,good,1467,47.6,1.69,0.469,81.43,32.36
2026-09-08T15:44:52.467Z,2328-01,good,1467.4,47.5,1.67,0.465,80.83,32.23
2026-09-08T15:45:52.467Z,2328-01,good,1467.7,47.3,1.64,0.461,80.23,32.14
2026-09-08T15:46:52.467Z,2328-01,good,1467.9,47.2,1.6,0.456,79.66,32.1
2026-09-08T15:47:52.467Z,2328-01,good,1468.1,47.1,1.57,0.452,79.12,32.1
2026-09-08T15:48:52.467Z,2328-01,good,1468.2,46.9,1.53,0.447,78.62,32.17
2026-09-08T15:49:52.467Z,2328-01,good,1468.2,46.7,1.49,0.442,78.2,32.3
2026-09-08T15:50:52.467Z,2328-01,good,1468.2,46.5,1.44,0.438,77.87,32.51
2026-09-08T15:51:52.467Z,2328-01,good,1468,46.2,1.39,0.433,77.64,32.78
2026-09-08T15:52:52.467Z,2328-01,good,1467.7,45.9,1.34,0.429,77.54,33.11
2026-09-08T15:53:52.467Z,2328-01,good,1467.3,45.5,1.29,0.425,77.57,33.52
2026-09-08T15:54:52.467Z,2328-01,good,1466.6,45.1,1.23,0.421,77.75,33.98
2026-09-08T15:55:52.467Z,2328-01,good,1465.7,44.7,1.17,0.418,78.08,34.5
2026-09-08T15:56:52.467Z,2328-01,good,1464.5,44.2,1.12,0.416,78.57,35.06
2026-09-08T15:57:52.467Z,2328-01,good,1463.1,43.7,1.06,0.414,79.2,35.64
2026-09-08T15:58:52.467Z,2328-01,good,1461.4,43.1,1.01,0.414,79.98,36.25
2026-09-08T15:59:52.467Z,2328-01,good,1459.4,42.6,0.97,0.414,80.89,36.85
2026-09-08T16:00:52.467Z,2328-01,good,1457.1,42,0.93,0.416,81.92,37.45
2026-09-08T16:01:52.467Z,2328-01,good,1454.5,41.4,0.9,0.419,83.03,38.02
2026-09-08T16:02:52.467Z,2328-01,good,1451.8,40.9,0.88,0.422,84.2,38.54
