"model_id","model_name","industry","model_category","file_num","create_time","update_time"
"8705","捕虾船船头设计","航运交通","工业可视化模型","1","2026-08-26","2026-08-26"
"8704","Kitbash3D吊机起重机","水利水电","工业可视化模型","1","2026-08-23","2026-08-23"
"8701","水电站主机厂","水利水电","工业可视化模型","1","2026-08-22","2026-08-24"
"8696","20-Track_Tractor","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8695","19-Soil_road_Roller","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8694","18-Road_Roller_Vib_Tandem","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8693","17-Electric_Rope_Shovel","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8692","16-Motor_Grader","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8691","15-Concrete_Mixer","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8690","14-OffHighway_Truck","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8689","13-Wheel_Tractor_Scraper","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8688","12-Track_Drill","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8687","11-Wheel_Dozer","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8686","10-Wheel_Loader","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8685","09-Wheel_Excavator","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8684","08-Track_loader","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8683","07-Telehandler","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8682","06-Track_Excavator","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8681","05-SkidSteer_Loader","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8680","04-Compact_Track_Excavator","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8679","03-Backhoe_Loader","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"8678","02-Asphalt_Paver","航运交通","工业可视化模型","1","2026-08-22","2026-08-22"
"8677","01-Articulated_Dump_Truck","矿山装备","工业可视化模型","1","2026-08-22","2026-08-22"
"7284","进水阀基础","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7281","NWHSJ-TurMainShaft-D1800-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7280","NWHSJ-TopGuard-D1100-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7279","NWHSJ-RevHLTRunner-D4500-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7278","NWHSJ-LowerBracket-D5920-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7277","NWHSJ-GerMainShaft-D1800-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7276","NWHSJ-GeneratorPlate-D18500-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7275","NWHSJ-GStator-D6700-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7274","NWHSJ-GRotor-D5360-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7273","球阀","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7272","机组","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7271","单元供水","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7270","Submersible Sewage Pump","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7269","NWHSJ-TurOilFilter-Q9P0.5-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7268","NWHSJ-OilPump-D50V12P0.33-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7267","NWHSJ-MPreAirTank-V2P4-000AA_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7266","NWHSJ-MPreAirTank-V2P4-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7265","NWHSJ-MPreAirTank-V12P8-000AA_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7264","NWHSJ-MPreAirTank-V12P8-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7263","NWHSJ-LPreAirTank-V5P0.8-000AA_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7262","NWHSJ-LPreAirTank-V5P0.8-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7261","NWHSJ-HCentrifPump-LCQ335H152-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7260","NWHSJ-FOilFilter-Q9.6P0.5N3-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7259","NWHSJ-CeOilTank-V15-000AA","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7258","1#油罐基础","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7257","顶盖装配_MODEL","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7256","透平油系统","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7255","进水球阀装配","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7254","转子支架_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7253","磁轭_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7252","球阀基础","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7251","水轮机主轴_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7250","水轮发电机组","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7249","水泵水轮机-转轮_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7248","检修排水系统","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7247","技术供水系统","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7246","发电机顶端_3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7245","发电机盖板-圆形_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7244","发电机主轴_3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7243","下机架与推力轴承座","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7242","上端轴_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7241","上机架_3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7240","齿轮油泵-18.3Lmin-1.45MPa","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7239","高位油箱_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7238","高位油箱","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7237","顶盖装配","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7236","顶盖","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7235","非管道式换气扇","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7234","隔墙换气扇（百叶窗式）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7233","防爆型冷暖分体空调室外机（左接管）","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7232","防爆型冷暖分体空调室外机（右接管）","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7231","防爆型冷暖分体空调室内柜机（右接管）","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7230","长轴透平泵_3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7229","长轴透平泵_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7228","长轴深井泵_1","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7227","钢支腿油罐","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7226","通风型离心风机箱（双速）_4","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7225","通风型离心风机箱（单速）_1","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7224","透平油滤油机-1000Lh-1","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7223","转子支架","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7222","转子","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7221","精密滤油机","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7220","管道式换气扇（超薄型）","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7219","管道式换气扇（超卓型）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7218","管道式换气扇（经济型）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7217","管道式换气扇（两用型）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7216","管道式换气扇","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7215","第四代高效节能便拆式立式离心泵","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7214","端吸式卧式离心泵_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7213","端吸式卧式离心泵_1","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7212","端吸卧式离心泵_5","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7211","端吸卧式离心泵_4","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7210","端吸卧式离心泵_3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7209","立柜式空气处理机组-顶出风（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7208","立柜式空气处理机组-顶出风（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7207","立柜式空气处理机组-侧出风（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7206","立柜式空气处理机组-侧出风（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7205","立式离心泵_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7204","立式离心泵_1","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7203","立式暗装风机盘管机组（左接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7202","立式暗装风机盘管机组（右接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7201","立式明装风机盘管机组（左接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7200","立式明装风机盘管机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7199","磁轭","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7198","潜水深井泵","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7197","潜水排污泵 _4","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7196","潜水排污泵 _3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7195","潜水排污泵 _2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7194","溢油箱","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7193","混流式转轮","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7192","混流式水轮发电机组","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7191","混凝土基础油罐","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7190","深井潜水泵","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7189","消防柜","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7188","消防型离心风机箱（双速）_2","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7187","消防型离心风机箱（单速）_3","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7186","泵 _5","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7185","油雾收集器","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7184","油雾净化器","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7183","油罐-5m³","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7182","油污水处理装置","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7181","水轮机主轴","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7180","水泵水轮机主轴","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7179","水泵水轮机-转轮","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7178","水机标准结构树&整体设备装配-地面厂房混流机_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7177","水机标准结构树&整体设备装配-地面厂房混流机","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7176","橱窗换气扇（电动百叶窗型）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7175","橱窗换气扇","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7174","模块式机房专用空调-顶回下送（小型号）（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7173","模块式机房专用空调-顶回下送（大型号）（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7172","模块式机房专用空调-前送带风帽（大型号）（右接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7171","模块式机房专用空调-前送带风帽(小型号)（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7170","模块式机房专用空调-前回顶送（小型号）（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7169","模块式机房专用空调-前回顶送（大型号）（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7168","柜式单元空调机-后回风、顶送风（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7167","柜式单元空调机-后回风、顶送风（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7166","柜式单元空调机-前回风、顶送风（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7165","柜式单元空调机-前回风、顶送风（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7164","柜式单元空调机-前回风、前出风（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7163","柜式单元空调机-前回风、前出风（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7162","板换","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7161","板式换热机组","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7160","暖风机","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7159","敞开式换气扇","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7158","推力轴承座","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7157","控制环","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7156","底环","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7155","屋顶式空调机组空气处理部分","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7154","屋顶式空调机组整体式4","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7153","屋顶式空调机组整体式3","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7152","屋顶式空调机组整体式2","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7151","屋顶式空调机组整体式1","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7150","屋顶式空调机组压缩冷凝部分","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7149","小风量新风处理机（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7148","小型风冷机房室外机","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7147","小型风冷机房室内机（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7146","小型风冷机房室内机（右接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7145","小型潜水排污泵32WQ(Ⅱ)8-10-0.75 Q=0.8m3_h H=10m _1","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7144","对流式电加热器","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7143","定子","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7142","大风量新风处理机（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7141","多联机空调室外机（独立式）（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7140","多联机空调室外机（4台并联）（左接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7139","多联机空调室外机（3台并联）（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7138","多联机空调室外机（2台并联）（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7137","基础板-车挡埋件_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7136","基础板-带四个抓筋_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7135","基础板-带四个抓筋","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7134","基础板-带两个抓筋","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7133","四面出风嵌入式（左接管）","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7132","四面出风嵌入式（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7131","四面出风卡式风机盘管机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7130","四面出风卡式风机盘管机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7129","吸顶式房间通风器_2","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7128","吸顶式房间通风器","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7127","吊顶柜式空气处理机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7126","吊顶柜式空气处理机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7125","吊顶式单元空调机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7124","吊顶式单元空调机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7123","变频螺杆式水冷冷水机组","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7122","变频离心式水冷冷水机组","矿山装备","工业可视化模型","1","2026-08-18","2026-08-18"
"7121","发电机顶端_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7120","发电机顶端","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7119","发电机盖板-圆形","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7118","发电机盖板-八角形","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7117","发电机主轴_2","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7116","发电机主轴","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7115","双级高真空滤油机","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7114","双级真空抽气机","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7113","双出风卡式风机盘管机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7112","双出风卡式风机盘管机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7111","压力滤油机","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7110","卧柜式空气处理机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7109","卧柜式空气处理机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7108","卧式离心泵","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7107","卧式暗装风机盘管机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7106","卧式暗装风机盘管机组（右接管）_2","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7105","卧式暗装风机盘管机组（右接管）","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7104","卧式明装风机盘管机组（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7103","卧式明装风机盘管机组（右接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7102","单级真空滤油机","水利水电","工业可视化模型","1","2026-08-18","2026-08-18"
"7101","单元式空调室外机","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7100","分体管道式换气扇","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
"7099","冷暖分体空调室外机（左接管）","航运交通","工业可视化模型","1","2026-08-18","2026-08-18"
