timestamp,device_id,quality,load_weight,trolley_position,crane_speed,motor_temperature,vibration
2026-09-08T00:00:00.000Z,2316-FIXTURE-SURGE,good,15,21,30,66.3,3.75
2026-09-08T00:01:00.000Z,2316-FIXTURE-SURGE,good,23.22,31.79,44.57,85.3,5.4
2026-09-08T00:02:00.000Z,2316-FIXTURE-SURGE,good,26.89,36.43,50.55,92.7,6.02
2026-09-08T00:03:00.000Z,2316-FIXTURE-SURGE,good,27.31,36.91,51,93,6
2026-09-08T00:04:00.000Z,2316-FIXTURE-SURGE,good,29.01,39.69,55.24,98.9,6.54
2026-09-08T00:05:00.000Z,2316-FIXTURE-SURGE,good,32.54,45.58,64.49,112.4,7.8
2026-09-08T00:06:00.000Z,2316-FIXTURE-SURGE,good,33.36,48.12,69.51,120.6,8.63
2026-09-08T00:07:00.000Z,2316-FIXTURE-SURGE,good,28.4,42.86,63.82,114.6,8.22
2026-09-08T00:08:00.000Z,2316-FIXTURE-SURGE,good,20.77,33.94,53.14,102.2,7.24
2026-09-08T00:09:00.000Z,2316-FIXTURE-SURGE,good,15.66,28.34,47.19,96.4,6.9
2026-09-08T00:10:00.000Z,2316-FIXTURE-SURGE,good,13.38,26.19,45.9,97,7.14
2026-09-08T00:11:00.000Z,2316-FIXTURE-SURGE,good,9.67,21.32,40.16,91.1,6.78
2026-09-08T00:12:00.000Z,2316-FIXTURE-SURGE,good,2.79,11.1,25.97,72.9,5.28
2026-09-08T00:13:00.000Z,2316-FIXTURE-SURGE,good,0.2,1.17,11.25,53.2,3.59
2026-09-08T00:14:00.000Z,2316-FIXTURE-SURGE,good,0.2,0.28,5.16,44.4,2.83
2026-09-08T00:15:00.000Z,2316-FIXTURE-SURGE,good,0.22,0.28,5.61,43.4,2.72
2026-09-08T00:16:00.000Z,2316-FIXTURE-SURGE,good,3.37,0.91,3.16,37.4,2.06
2026-09-08T00:17:00.000Z,2316-FIXTURE-SURGE,good,4.25,0.28,0.4,23.1,0.58
2026-09-08T00:18:00.000Z,2316-FIXTURE-SURGE,good,6.72,0.28,0.4,12.7,0.05
2026-09-08T00:19:00.000Z,2316-FIXTURE-SURGE,good,13.83,5.95,0.4,16.4,0.05
2026-09-08T00:20:00.000Z,2316-FIXTURE-SURGE,good,22.66,16.97,9.42,27.7,0.05
2026-09-08T00:21:00.000Z,2316-FIXTURE-SURGE,good,27.76,24.24,16.97,33.1,0.14
2026-09-08T00:22:00.000Z,2316-FIXTURE-SURGE,good,28.34,26.76,19.04,31.8,0.05
2026-09-08T00:23:00.000Z,2316-FIXTURE-SURGE,good,28.68,30.49,24.41,36,0.05
2026-09-08T00:24:00.000Z,2316-FIXTURE-SURGE,good,31.34,38.77,37.97,53,0.87
2026-09-08T00:25:00.000Z,2316-FIXTURE-SURGE,good,33.04,46.62,52.62,73.1,2.46
2026-09-08T00:26:00.000Z,2316-FIXTURE-SURGE,good,29.43,47.43,58.7,83.2,3.25
2026-09-08T00:27:00.000Z,2316-FIXTURE-SURGE,good,21.65,42.18,57.3,84.8,3.39
2026-09-08T00:28:00.000Z,2316-FIXTURE-SURGE,good,15.1,37.84,57.89,90.8,4.06
2026-09-08T00:29:00.000Z,2316-FIXTURE-SURGE,good,12.2,37.19,63.93,105.7,5.66
2026-09-08T00:30:00.000Z,2316-FIXTURE-SURGE,good,9.61,35.1,67.43,118.1,7.16
2026-09-08T00:31:00.000Z,2316-FIXTURE-SURGE,good,3.93,26.56,60.66,116.9,7.52
2026-09-08T00:32:00.000Z,2316-FIXTURE-SURGE,good,0.2,14.75,47.6,106.9,7.17
2026-09-08T00:33:00.000Z,2316-FIXTURE-SURGE,good,0.2,7.21,38.6,101.8,7.32
2026-09-08T00:34:00.000Z,2316-FIXTURE-SURGE,good,0.2,5.66,35.84,103.9,8.14
2026-09-08T00:35:00.000Z,2316-FIXTURE-SURGE,good,3.56,4.3,30.96,101.4,8.52
2026-09-08T00:36:00.000Z,2316-FIXTURE-SURGE,good,5.45,0.28,18.24,85.9,7.65
2026-09-08T00:37:00.000Z,2316-FIXTURE-SURGE,good,7.16,0.28,3.9,65.7,6.26
2026-09-08T00:38:00.000Z,2316-FIXTURE-SURGE,good,12.87,0.28,0.4,54.5,5.55
2026-09-08T00:39:00.000Z,2316-FIXTURE-SURGE,good,21.7,4.04,0.4,52.3,5.5
