timestamp,device_id,quality,load_weight,trolley_position,crane_speed,motor_temperature,vibration
2026-09-08T00:00:00.000Z,2316-FIXTURE-NORMAL,good,10,14,20,52.5,2.5
2026-09-08T00:01:00.000Z,2316-FIXTURE-NORMAL,good,10.65,14.83,21.08,53.9,2.62
2026-09-08T00:02:00.000Z,2316-FIXTURE-NORMAL,good,11.23,15.58,22.08,55.1,2.72
2026-09-08T00:03:00.000Z,2316-FIXTURE-NORMAL,good,11.67,16.19,22.92,56.3,2.82
2026-09-08T00:04:00.000Z,2316-FIXTURE-NORMAL,good,11.94,16.61,23.55,57.1,2.9
2026-09-08T00:05:00.000Z,2316-FIXTURE-NORMAL,good,11.99,16.79,23.92,57.7,2.96
2026-09-08T00:06:00.000Z,2316-FIXTURE-NORMAL,good,11.83,16.73,23.99,58,2.99
2026-09-08T00:07:00.000Z,2316-FIXTURE-NORMAL,good,11.47,16.42,23.77,57.9,3
2026-09-08T00:08:00.000Z,2316-FIXTURE-NORMAL,good,10.95,15.9,23.27,57.5,2.98
2026-09-08T00:09:00.000Z,2316-FIXTURE-NORMAL,good,10.33,15.21,22.52,56.7,2.93
2026-09-08T00:10:00.000Z,2316-FIXTURE-NORMAL,good,9.67,14.42,21.59,55.7,2.86
2026-09-08T00:11:00.000Z,2316-FIXTURE-NORMAL,good,9.05,13.58,20.54,54.5,2.77
2026-09-08T00:12:00.000Z,2316-FIXTURE-NORMAL,good,8.53,12.79,19.46,53.2,2.67
2026-09-08T00:13:00.000Z,2316-FIXTURE-NORMAL,good,8.17,12.1,18.41,51.8,2.56
2026-09-08T00:14:00.000Z,2316-FIXTURE-NORMAL,good,8.01,11.58,17.48,50.5,2.44
2026-09-08T00:15:00.000Z,2316-FIXTURE-NORMAL,good,8.06,11.27,16.73,49.3,2.33
2026-09-08T00:16:00.000Z,2316-FIXTURE-NORMAL,good,8.33,11.21,16.23,48.3,2.23
2026-09-08T00:17:00.000Z,2316-FIXTURE-NORMAL,good,8.77,11.39,16.01,47.5,2.14
2026-09-08T00:18:00.000Z,2316-FIXTURE-NORMAL,good,9.35,11.81,16.08,47.1,2.07
