timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T00:00:00.000Z,2310-FIXTURE-SURGE,good,1737.5,95,5.25,24,55.5,315
2026-09-08T00:01:00.000Z,2310-FIXTURE-SURGE,good,2333.3,110.4,7.8,29.54,72.05,397.58
2026-09-08T00:02:00.000Z,2310-FIXTURE-SURGE,good,2599.2,117,8.85,31.71,78.18,426.56
2026-09-08T00:03:00.000Z,2310-FIXTURE-SURGE,good,2629.7,117.7,8.92,31.77,78,423.71
2026-09-08T00:04:00.000Z,2310-FIXTURE-SURGE,good,2752.9,121.7,9.67,33.5,83.41,451.28
2026-09-08T00:05:00.000Z,2310-FIXTURE-SURGE,good,3009.5,130.1,11.29,37.42,96.03,518.09
2026-09-08T00:06:00.000Z,2310-FIXTURE-SURGE,good,3068.9,133.7,12.16,39.81,104.34,564.29
2026-09-08T00:07:00.000Z,2310-FIXTURE-SURGE,good,2709.1,126.2,11.17,38.07,100.16,547.29
2026-09-08T00:08:00.000Z,2310-FIXTURE-SURGE,good,2156.1,113.5,9.3,34.45,90.42,502.96
2026-09-08T00:09:00.000Z,2310-FIXTURE-SURGE,good,1785.7,105.5,8.26,32.77,86.97,492.57
2026-09-08T00:10:00.000Z,2310-FIXTURE-SURGE,good,1619.9,102.4,8.03,32.94,89.35,513.21
2026-09-08T00:11:00.000Z,2310-FIXTURE-SURGE,good,1351.2,95.5,7.03,31.22,85.76,502.9
2026-09-08T00:12:00.000Z,2310-FIXTURE-SURGE,good,852.6,80.9,4.55,25.95,70.79,432.86
2026-09-08T00:13:00.000Z,2310-FIXTURE-SURGE,good,420.2,66.7,1.97,20.21,53.93,351.75
2026-09-08T00:14:00.000Z,2310-FIXTURE-SURGE,good,386.4,62.2,0.9,17.64,46.33,316.88
2026-09-08T00:15:00.000Z,2310-FIXTURE-SURGE,good,665.6,65.2,0.98,17.36,45.2,313.15
2026-09-08T00:16:00.000Z,2310-FIXTURE-SURGE,good,894.2,66.3,0.55,15.6,38.65,278.24
2026-09-08T00:17:00.000Z,2310-FIXTURE-SURGE,good,958.4,62.7,0.07,11.45,23.83,197.11
2026-09-08T00:18:00.000Z,2310-FIXTURE-SURGE,good,1137,62.9,0.07,8.43,11.79,127.09
2026-09-08T00:19:00.000Z,2310-FIXTURE-SURGE,good,1652.4,73.5,0.07,9.49,11.85,116.82
2026-09-08T00:20:00.000Z,2310-FIXTURE-SURGE,good,2292.5,89.2,1.65,12.77,18.41,137.45
