timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T00:00:00.000Z,2310-FIXTURE-NORMAL,good,1375,85,3.5,20,43,250
2026-09-08T00:01:00.000Z,2310-FIXTURE-NORMAL,good,1422.1,86.2,3.69,20.4,44.15,255.59
2026-09-08T00:02:00.000Z,2310-FIXTURE-NORMAL,good,1464.1,87.3,3.86,20.77,45.24,260.92
2026-09-08T00:03:00.000Z,2310-FIXTURE-NORMAL,good,1496.4,88.1,4.01,21.1,46.21,265.73
2026-09-08T00:04:00.000Z,2310-FIXTURE-NORMAL,good,1515.6,88.7,4.12,21.35,47.01,269.82
2026-09-08T00:05:00.000Z,2310-FIXTURE-NORMAL,good,1519.5,89,4.19,21.52,47.59,272.97
2026-09-08T00:06:00.000Z,2310-FIXTURE-NORMAL,good,1507.8,88.9,4.2,21.6,47.92,275.05
2026-09-08T00:07:00.000Z,2310-FIXTURE-NORMAL,good,1481.7,88.5,4.16,21.57,47.99,275.96
2026-09-08T00:08:00.000Z,2310-FIXTURE-NORMAL,good,1444,87.7,4.07,21.45,47.79,275.66
2026-09-08T00:09:00.000Z,2310-FIXTURE-NORMAL,good,1398.9,86.7,3.94,21.23,47.33,274.15
2026-09-08T00:10:00.000Z,2310-FIXTURE-NORMAL,good,1351.1,85.6,3.78,20.94,46.64,271.52
2026-09-08T00:11:00.000Z,2310-FIXTURE-NORMAL,good,1306,84.4,3.6,20.59,45.75,267.88
2026-09-08T00:12:00.000Z,2310-FIXTURE-NORMAL,good,1268.3,83.3,3.4,20.2,44.71,263.4
2026-09-08T00:13:00.000Z,2310-FIXTURE-NORMAL,good,1242.2,82.3,3.22,19.8,43.58,258.3
2026-09-08T00:14:00.000Z,2310-FIXTURE-NORMAL,good,1230.5,81.5,3.06,19.41,42.42,252.81
2026-09-08T00:15:00.000Z,2310-FIXTURE-NORMAL,good,1234.4,81.1,2.93,19.06,41.29,247.19
2026-09-08T00:16:00.000Z,2310-FIXTURE-NORMAL,good,1253.6,81,2.84,18.77,40.25,241.7
2026-09-08T00:17:00.000Z,2310-FIXTURE-NORMAL,good,1285.9,81.3,2.8,18.55,39.36,236.6
2026-09-08T00:18:00.000Z,2310-FIXTURE-NORMAL,good,1327.9,81.9,2.81,18.43,38.67,232.12
2026-09-08T00:19:00.000Z,2310-FIXTURE-NORMAL,good,1375,82.7,2.88,18.4,38.21,228.48
2026-09-08T00:20:00.000Z,2310-FIXTURE-NORMAL,good,1422.1,83.8,2.99,18.48,38.01,225.85
2026-09-08T00:21:00.000Z,2310-FIXTURE-NORMAL,good,1464.1,85,3.14,18.65,38.08,224.34
2026-09-08T00:22:00.000Z,2310-FIXTURE-NORMAL,good,1496.4,86.2,3.31,18.9,38.41,224.04
2026-09-08T00:23:00.000Z,2310-FIXTURE-NORMAL,good,1515.6,87.3,3.5,19.23,38.99,224.95
2026-09-08T00:24:00.000Z,2310-FIXTURE-NORMAL,good,1519.5,88.1,3.69,19.6,39.79,227.03
2026-09-08T00:25:00.000Z,2310-FIXTURE-NORMAL,good,1507.8,88.7,3.86,20,40.76,230.18
2026-09-08T00:26:00.000Z,2310-FIXTURE-NORMAL,good,1481.7,89,4.01,20.4,41.85,234.27
2026-09-08T00:27:00.000Z,2310-FIXTURE-NORMAL,good,1444,88.9,4.12,20.77,43,239.08
2026-09-08T00:28:00.000Z,2310-FIXTURE-NORMAL,good,1398.9,88.5,4.19,21.1,44.15,244.41
2026-09-08T00:29:00.000Z,2310-FIXTURE-NORMAL,good,1351.1,87.7,4.2,21.35,45.24,250
2026-09-08T00:30:00.000Z,2310-FIXTURE-NORMAL,good,1306,86.7,4.16,21.52,46.21,255.59
2026-09-08T00:31:00.000Z,2310-FIXTURE-NORMAL,good,1268.3,85.6,4.07,21.6,47.01,260.92
2026-09-08T00:32:00.000Z,2310-FIXTURE-NORMAL,good,1242.2,84.4,3.94,21.57,47.59,265.73
