timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T00:00:00.000Z,2326-FIXTURE-SURGE,good,155,65,3.38,2.08,36,27
2026-09-08T00:01:00.000Z,2326-FIXTURE-SURGE,good,163.2,80.4,5.01,2.53,43.94,33.35
2026-09-08T00:02:00.000Z,2326-FIXTURE-SURGE,good,166.9,87,5.69,2.7,46.89,35.58
2026-09-08T00:03:00.000Z,2326-FIXTURE-SURGE,good,167.3,87.7,5.74,2.71,46.8,35.36
2026-09-08T00:04:00.000Z,2326-FIXTURE-SURGE,good,169,91.7,6.21,2.85,49.39,37.48
2026-09-08T00:05:00.000Z,2326-FIXTURE-SURGE,good,172.5,100.1,7.26,3.17,55.45,42.62
2026-09-08T00:06:00.000Z,2326-FIXTURE-SURGE,good,173.4,103.7,7.82,3.36,59.45,46.18
2026-09-08T00:07:00.000Z,2326-FIXTURE-SURGE,good,168.4,96.2,7.18,3.22,57.44,44.87
2026-09-08T00:08:00.000Z,2326-FIXTURE-SURGE,good,160.8,83.5,5.98,2.92,52.76,41.46
2026-09-08T00:09:00.000Z,2326-FIXTURE-SURGE,good,155.7,75.5,5.31,2.79,51.11,40.66
2026-09-08T00:10:00.000Z,2326-FIXTURE-SURGE,good,153.4,72.4,5.16,2.8,52.25,42.25
2026-09-08T00:11:00.000Z,2326-FIXTURE-SURGE,good,149.7,65.5,4.52,2.66,50.53,41.45
2026-09-08T00:12:00.000Z,2326-FIXTURE-SURGE,good,142.8,50.9,2.92,2.23,43.34,36.07
2026-09-08T00:13:00.000Z,2326-FIXTURE-SURGE,good,136.8,36.7,1.27,1.77,35.25,29.83
2026-09-08T00:14:00.000Z,2326-FIXTURE-SURGE,good,136.4,32.2,0.58,1.56,31.6,27.14
2026-09-08T00:15:00.000Z,2326-FIXTURE-SURGE,good,140.2,35.2,0.63,1.54,31.06,26.86
2026-09-08T00:16:00.000Z,2326-FIXTURE-SURGE,good,143.4,36.3,0.36,1.39,27.91,24.17
2026-09-08T00:17:00.000Z,2326-FIXTURE-SURGE,good,144.3,32.7,0.04,1.06,20.8,17.93
2026-09-08T00:18:00.000Z,2326-FIXTURE-SURGE,good,146.7,32.9,0.04,0.81,15.02,12.55
2026-09-08T00:19:00.000Z,2326-FIXTURE-SURGE,good,153.8,43.5,0.04,0.9,15.05,11.76
2026-09-08T00:20:00.000Z,2326-FIXTURE-SURGE,good,162.7,59.2,1.06,1.16,18.2,13.34
2026-09-08T00:21:00.000Z,2326-FIXTURE-SURGE,good,167.8,69.6,1.91,1.29,18.69,12.54
2026-09-08T00:22:00.000Z,2326-FIXTURE-SURGE,good,168.3,73.2,2.14,1.26,16.19,9.13
2026-09-08T00:23:00.000Z,2326-FIXTURE-SURGE,good,168.7,78.6,2.75,1.36,16.28,7.82
2026-09-08T00:24:00.000Z,2326-FIXTURE-SURGE,good,171.3,90.4,4.27,1.76,22.17,11.38
2026-09-08T00:25:00.000Z,2326-FIXTURE-SURGE,good,173,101.6,5.92,2.24,29.81,16.52
2026-09-08T00:26:00.000Z,2326-FIXTURE-SURGE,good,169.4,102.8,6.6,2.47,33.6,18.64
2026-09-08T00:27:00.000Z,2326-FIXTURE-SURGE,good,161.6,95.3,6.45,2.51,34.27,18.42
2026-09-08T00:28:00.000Z,2326-FIXTURE-SURGE,good,155.1,89.1,6.51,2.66,37.47,20.65
2026-09-08T00:29:00.000Z,2326-FIXTURE-SURGE,good,152.2,88.1,7.19,3.01,45.16,27
2026-09-08T00:30:00.000Z,2326-FIXTURE-SURGE,good,149.6,85.1,7.59,3.3,52.35,33.35
2026-09-08T00:31:00.000Z,2326-FIXTURE-SURGE,good,143.9,72.9,6.82,3.27,54.09,35.58
2026-09-08T00:32:00.000Z,2326-FIXTURE-SURGE,good,137.5,56.1,5.36,3.04,52.42,35.36
2026-09-08T00:33:00.000Z,2326-FIXTURE-SURGE,good,135.6,45.3,4.34,2.91,53.12,37.48
2026-09-08T00:34:00.000Z,2326-FIXTURE-SURGE,good,139.1,43.1,4.03,2.97,57.09,42.62
2026-09-08T00:35:00.000Z,2326-FIXTURE-SURGE,good,143.6,41.1,3.48,2.91,58.9,46.18
2026-09-08T00:36:00.000Z,2326-FIXTURE-SURGE,good,145.4,33.6,2.05,2.54,54.74,44.87
2026-09-08T00:37:00.000Z,2326-FIXTURE-SURGE,good,147.2,26.5,0.44,2.06,48.06,41.46
2026-09-08T00:38:00.000Z,2326-FIXTURE-SURGE,good,152.9,29.1,0.04,1.8,44.65,40.66
2026-09-08T00:39:00.000Z,2326-FIXTURE-SURGE,good,161.7,40.8,0.04,1.74,44.39,42.25
2026-09-08T00:40:00.000Z,2326-FIXTURE-SURGE,good,168.2,51.4,0.18,1.61,41.68,41.45
2026-09-08T00:41:00.000Z,2326-FIXTURE-SURGE,good,169.5,55.6,0.04,1.24,33.99,36.06
2026-09-08T00:42:00.000Z,2326-FIXTURE-SURGE,good,168.9,59.8,0.04,0.91,25.9,29.83
2026-09-08T00:43:00.000Z,2326-FIXTURE-SURGE,good,170.3,71.6,0.2,0.88,22.76,27.15
2026-09-08T00:44:00.000Z,2326-FIXTURE-SURGE,good,172.3,87.5,1.77,1.08,23.2,26.86
2026-09-08T00:45:00.000Z,2326-FIXTURE-SURGE,good,170.1,96.8,2.93,1.19,21.45,24.17
2026-09-08T00:46:00.000Z,2326-FIXTURE-SURGE,good,162.8,96,3.31,1.12,16.09,17.93
2026-09-08T00:47:00.000Z,2326-FIXTURE-SURGE,good,155,93.4,3.79,1.14,12.32,12.55
2026-09-08T00:48:00.000Z,2326-FIXTURE-SURGE,good,151,95.8,5.1,1.47,14.5,11.76
2026-09-08T00:49:00.000Z,2326-FIXTURE-SURGE,good,149,98.7,6.65,1.94,19.83,13.34
2026-09-08T00:50:00.000Z,2326-FIXTURE-SURGE,good,144.8,92.8,7.29,2.23,22.41,12.54
2026-09-08T00:51:00.000Z,2326-FIXTURE-SURGE,good,138.5,78,6.92,2.29,21.81,9.13
2026-09-08T00:52:00.000Z,2326-FIXTURE-SURGE,good,135.3,64.5,6.56,2.43,23.49,7.82
2026-09-08T00:53:00.000Z,2326-FIXTURE-SURGE,good,137.9,58.7,6.84,2.79,30.58,11.38
2026-09-08T00:54:00.000Z,2326-FIXTURE-SURGE,good,143.2,55.2,7.06,3.17,38.97,16.52
2026-09-08T00:55:00.000Z,2326-FIXTURE-SURGE,good,146.5,45.7,6.22,3.25,43.01,18.63
2026-09-08T00:56:00.000Z,2326-FIXTURE-SURGE,good,148,32.7,4.57,3.08,43.42,18.41
2026-09-08T00:57:00.000Z,2326-FIXTURE-SURGE,good,152.3,26.5,3.29,2.99,45.88,20.65
2026-09-08T00:58:00.000Z,2326-FIXTURE-SURGE,good,160.5,31.1,2.86,3.08,52.37,27
2026-09-08T00:59:00.000Z,2326-FIXTURE-SURGE,good,168.1,38.7,2.46,3.1,57.97,33.35
2026-09-08T01:00:00.000Z,2326-FIXTURE-SURGE,good,170.7,41.3,1.28,2.82,57.82,35.58
2026-09-08T01:01:00.000Z,2326-FIXTURE-SURGE,good,169.6,42,0.04,2.36,54.05,35.36
2026-09-08T01:02:00.000Z,2326-FIXTURE-SURGE,good,169.5,50,0.04,2.05,52.58,37.49
2026-09-08T01:03:00.000Z,2326-FIXTURE-SURGE,good,171.2,66.2,0.04,1.98,54.4,42.63
2026-09-08T01:04:00.000Z,2326-FIXTURE-SURGE,good,170.3,80.6,0.26,1.85,54.19,46.18
2026-09-08T01:05:00.000Z,2326-FIXTURE-SURGE,good,164,85.9,0.18,1.48,48.28,44.86
2026-09-08T01:06:00.000Z,2326-FIXTURE-SURGE,good,155.5,86.9,0.06,1.07,40.19,41.46
2026-09-08T01:07:00.000Z,2326-FIXTURE-SURGE,good,150.1,92.4,0.91,0.94,35.81,40.66
2026-09-08T01:08:00.000Z,2326-FIXTURE-SURGE,good,148.1,101.3,2.61,1.07,35.05,42.25
2026-09-08T01:09:00.000Z,2326-FIXTURE-SURGE,good,145.3,103.7,4,1.15,32.34,41.45
2026-09-08T01:10:00.000Z,2326-FIXTURE-SURGE,good,139.7,95,4.47,1.04,25.15,36.06
2026-09-08T01:11:00.000Z,2326-FIXTURE-SURGE,good,135.5,82.9,4.78,0.97,18.04,29.82
2026-09-08T01:12:00.000Z,2326-FIXTURE-SURGE,good,136.8,76.4,5.79,1.21,16.31,27.15
2026-09-08T01:13:00.000Z,2326-FIXTURE-SURGE,good,142.5,73.5,7.15,1.65,18.5,26.86
2026-09-08T01:14:00.000Z,2326-FIXTURE-SURGE,good,147.2,65.1,7.7,1.97,18.75,24.17
2026-09-08T01:15:00.000Z,2326-FIXTURE-SURGE,good,149.2,49.6,7.12,2.05,15.54,17.93
2026-09-08T01:16:00.000Z,2326-FIXTURE-SURGE,good,152.2,36.3,6.36,2.17,13.95,12.54
2026-09-08T01:17:00.000Z,2326-FIXTURE-SURGE,good,159.4,33.2,6.24,2.53,18.23,11.76
2026-09-08T01:18:00.000Z,2326-FIXTURE-SURGE,good,167.6,36.1,6.27,2.97,25.45,13.35
2026-09-08T01:19:00.000Z,2326-FIXTURE-SURGE,good,171.5,35.7,5.42,3.16,29.62,12.54
2026-09-08T01:20:00.000Z,2326-FIXTURE-SURGE,good,170.6,31.5,3.69,3.07,30.21,9.12
2026-09-08T01:21:00.000Z,2326-FIXTURE-SURGE,good,169.1,32.8,2.23,3,32.65,7.82
2026-09-08T01:22:00.000Z,2326-FIXTURE-SURGE,good,170,44.7,1.72,3.12,39.99,11.39
2026-09-08T01:23:00.000Z,2326-FIXTURE-SURGE,good,170,59.9,1.52,3.24,48.13,16.52
2026-09-08T01:24:00.000Z,2326-FIXTURE-SURGE,good,165,68.8,0.68,3.05,51.42,18.63
2026-09-08T01:25:00.000Z,2326-FIXTURE-SURGE,good,156.3,72.1,0.04,2.63,50.62,18.41
2026-09-08T01:26:00.000Z,2326-FIXTURE-SURGE,good,149.5,78.8,0.04,2.31,51.5,20.65
2026-09-08T01:27:00.000Z,2326-FIXTURE-SURGE,good,146.9,91.6,0.04,2.21,56.1,27.01
2026-09-08T01:28:00.000Z,2326-FIXTURE-SURGE,good,145.2,102,0.59,2.11,59.61,33.35
2026-09-08T01:29:00.000Z,2326-FIXTURE-SURGE,good,140.9,101.8,0.9,1.76,57.27,35.58
2026-09-08T01:30:00.000Z,2326-FIXTURE-SURGE,good,136.1,94.3,0.95,1.3,51.35,35.36
2026-09-08T01:31:00.000Z,2326-FIXTURE-SURGE,good,136.1,89.5,1.79,1.06,47.87,37.49
2026-09-08T01:32:00.000Z,2326-FIXTURE-SURGE,good,141.4,89.3,3.51,1.11,47.94,42.63
2026-09-08T01:33:00.000Z,2326-FIXTURE-SURGE,good,147.4,85.3,5.04,1.17,46.33,46.18
2026-09-08T01:34:00.000Z,2326-FIXTURE-SURGE,good,150.4,71.8,5.56,1.03,39.43,44.86
2026-09-08T01:35:00.000Z,2326-FIXTURE-SURGE,good,152.7,55.3,5.65,0.87,30.85,41.45
2026-09-08T01:36:00.000Z,2326-FIXTURE-SURGE,good,158.4,46,6.29,1,26.47,40.66
