timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T00:00:00.000Z,2326-FIXTURE-NORMAL,good,150,55,2.25,1.75,30,22
2026-09-08T00:01:00.000Z,2326-FIXTURE-NORMAL,good,150.6,56.2,2.37,1.78,30.55,22.43
2026-09-08T00:02:00.000Z,2326-FIXTURE-NORMAL,good,151.2,57.3,2.48,1.81,31.08,22.84
2026-09-08T00:03:00.000Z,2326-FIXTURE-NORMAL,good,151.7,58.1,2.58,1.84,31.54,23.21
2026-09-08T00:04:00.000Z,2326-FIXTURE-NORMAL,good,151.9,58.7,2.65,1.86,31.93,23.52
2026-09-08T00:05:00.000Z,2326-FIXTURE-NORMAL,good,152,59,2.69,1.87,32.2,23.77
2026-09-08T00:06:00.000Z,2326-FIXTURE-NORMAL,good,151.8,58.9,2.7,1.88,32.36,23.93
2026-09-08T00:07:00.000Z,2326-FIXTURE-NORMAL,good,151.5,58.5,2.67,1.88,32.4,24
2026-09-08T00:08:00.000Z,2326-FIXTURE-NORMAL,good,151,57.7,2.62,1.87,32.3,23.97
2026-09-08T00:09:00.000Z,2326-FIXTURE-NORMAL,good,150.3,56.7,2.53,1.85,32.08,23.86
2026-09-08T00:10:00.000Z,2326-FIXTURE-NORMAL,good,149.7,55.6,2.43,1.83,31.75,23.66
2026-09-08T00:11:00.000Z,2326-FIXTURE-NORMAL,good,149,54.4,2.31,1.8,31.32,23.38
2026-09-08T00:12:00.000Z,2326-FIXTURE-NORMAL,good,148.5,53.3,2.19,1.77,30.82,23.03
2026-09-08T00:13:00.000Z,2326-FIXTURE-NORMAL,good,148.2,52.3,2.07,1.73,30.28,22.64
2026-09-08T00:14:00.000Z,2326-FIXTURE-NORMAL,good,148,51.5,1.97,1.7,29.72,22.22
2026-09-08T00:15:00.000Z,2326-FIXTURE-NORMAL,good,148.1,51.1,1.88,1.67,29.18,21.78
2026-09-08T00:16:00.000Z,2326-FIXTURE-NORMAL,good,148.3,51,1.83,1.65,28.68,21.36
2026-09-08T00:17:00.000Z,2326-FIXTURE-NORMAL,good,148.8,51.3,1.8,1.63,28.25,20.97
2026-09-08T00:18:00.000Z,2326-FIXTURE-NORMAL,good,149.4,51.9,1.81,1.62,27.92,20.62
2026-09-08T00:19:00.000Z,2326-FIXTURE-NORMAL,good,150,52.7,1.85,1.62,27.7,20.34
2026-09-08T00:20:00.000Z,2326-FIXTURE-NORMAL,good,150.6,53.8,1.92,1.63,27.6,20.14
2026-09-08T00:21:00.000Z,2326-FIXTURE-NORMAL,good,151.2,55,2.02,1.64,27.64,20.03
2026-09-08T00:22:00.000Z,2326-FIXTURE-NORMAL,good,151.7,56.2,2.13,1.66,27.8,20
2026-09-08T00:23:00.000Z,2326-FIXTURE-NORMAL,good,151.9,57.3,2.25,1.69,28.07,20.07
2026-09-08T00:24:00.000Z,2326-FIXTURE-NORMAL,good,152,58.1,2.37,1.72,28.46,20.23
2026-09-08T00:25:00.000Z,2326-FIXTURE-NORMAL,good,151.8,58.7,2.48,1.75,28.92,20.48
2026-09-08T00:26:00.000Z,2326-FIXTURE-NORMAL,good,151.5,59,2.58,1.78,29.45,20.79
2026-09-08T00:27:00.000Z,2326-FIXTURE-NORMAL,good,151,58.9,2.65,1.81,30,21.16
2026-09-08T00:28:00.000Z,2326-FIXTURE-NORMAL,good,150.3,58.5,2.69,1.84,30.55,21.57
2026-09-08T00:29:00.000Z,2326-FIXTURE-NORMAL,good,149.7,57.7,2.7,1.86,31.08,22
2026-09-08T00:30:00.000Z,2326-FIXTURE-NORMAL,good,149,56.7,2.67,1.87,31.54,22.43
2026-09-08T00:31:00.000Z,2326-FIXTURE-NORMAL,good,148.5,55.6,2.62,1.88,31.93,22.84
2026-09-08T00:32:00.000Z,2326-FIXTURE-NORMAL,good,148.2,54.4,2.53,1.88,32.2,23.21
2026-09-08T00:33:00.000Z,2326-FIXTURE-NORMAL,good,148,53.3,2.43,1.87,32.36,23.52
2026-09-08T00:34:00.000Z,2326-FIXTURE-NORMAL,good,148.1,52.3,2.31,1.85,32.4,23.77
2026-09-08T00:35:00.000Z,2326-FIXTURE-NORMAL,good,148.3,51.5,2.19,1.83,32.3,23.93
2026-09-08T00:36:00.000Z,2326-FIXTURE-NORMAL,good,148.8,51.1,2.07,1.8,32.08,24
2026-09-08T00:37:00.000Z,2326-FIXTURE-NORMAL,good,149.4,51,1.97,1.77,31.75,23.97
2026-09-08T00:38:00.000Z,2326-FIXTURE-NORMAL,good,150,51.3,1.88,1.73,31.32,23.86
2026-09-08T00:39:00.000Z,2326-FIXTURE-NORMAL,good,150.6,51.9,1.83,1.7,30.82,23.66
2026-09-08T00:40:00.000Z,2326-FIXTURE-NORMAL,good,151.2,52.7,1.8,1.67,30.28,23.38
2026-09-08T00:41:00.000Z,2326-FIXTURE-NORMAL,good,151.7,53.8,1.81,1.65,29.72,23.03
2026-09-08T00:42:00.000Z,2326-FIXTURE-NORMAL,good,151.9,55,1.85,1.63,29.18,22.64
2026-09-08T00:43:00.000Z,2326-FIXTURE-NORMAL,good,152,56.2,1.92,1.62,28.68,22.22
2026-09-08T00:44:00.000Z,2326-FIXTURE-NORMAL,good,151.8,57.3,2.02,1.62,28.25,21.78
2026-09-08T00:45:00.000Z,2326-FIXTURE-NORMAL,good,151.5,58.1,2.13,1.63,27.92,21.36
2026-09-08T00:46:00.000Z,2326-FIXTURE-NORMAL,good,151,58.7,2.25,1.64,27.7,20.97
2026-09-08T00:47:00.000Z,2326-FIXTURE-NORMAL,good,150.3,59,2.37,1.66,27.6,20.62
2026-09-08T00:48:00.000Z,2326-FIXTURE-NORMAL,good,149.7,58.9,2.48,1.69,27.64,20.34
2026-09-08T00:49:00.000Z,2326-FIXTURE-NORMAL,good,149,58.5,2.58,1.72,27.8,20.14
2026-09-08T00:50:00.000Z,2326-FIXTURE-NORMAL,good,148.5,57.7,2.65,1.75,28.07,20.03
2026-09-08T00:51:00.000Z,2326-FIXTURE-NORMAL,good,148.2,56.7,2.69,1.78,28.46,20
2026-09-08T00:52:00.000Z,2326-FIXTURE-NORMAL,good,148,55.6,2.7,1.81,28.92,20.07
2026-09-08T00:53:00.000Z,2326-FIXTURE-NORMAL,good,148.1,54.4,2.67,1.84,29.45,20.23
2026-09-08T00:54:00.000Z,2326-FIXTURE-NORMAL,good,148.3,53.3,2.62,1.86,30,20.48
2026-09-08T00:55:00.000Z,2326-FIXTURE-NORMAL,good,148.8,52.3,2.53,1.87,30.55,20.79
2026-09-08T00:56:00.000Z,2326-FIXTURE-NORMAL,good,149.4,51.5,2.43,1.88,31.08,21.16
2026-09-08T00:57:00.000Z,2326-FIXTURE-NORMAL,good,150,51.1,2.31,1.88,31.54,21.57
2026-09-08T00:58:00.000Z,2326-FIXTURE-NORMAL,good,150.6,51,2.19,1.87,31.93,22
2026-09-08T00:59:00.000Z,2326-FIXTURE-NORMAL,good,151.2,51.3,2.07,1.85,32.2,22.43
2026-09-08T01:00:00.000Z,2326-FIXTURE-NORMAL,good,151.7,51.9,1.97,1.83,32.36,22.84
2026-09-08T01:01:00.000Z,2326-FIXTURE-NORMAL,good,151.9,52.7,1.88,1.8,32.4,23.21
2026-09-08T01:02:00.000Z,2326-FIXTURE-NORMAL,good,152,53.8,1.83,1.77,32.3,23.52
2026-09-08T01:03:00.000Z,2326-FIXTURE-NORMAL,good,151.8,55,1.8,1.73,32.08,23.77
2026-09-08T01:04:00.000Z,2326-FIXTURE-NORMAL,good,151.5,56.2,1.81,1.7,31.75,23.93
2026-09-08T01:05:00.000Z,2326-FIXTURE-NORMAL,good,151,57.3,1.85,1.67,31.32,24
2026-09-08T01:06:00.000Z,2326-FIXTURE-NORMAL,good,150.3,58.1,1.92,1.65,30.82,23.97
2026-09-08T01:07:00.000Z,2326-FIXTURE-NORMAL,good,149.7,58.7,2.02,1.63,30.28,23.86
2026-09-08T01:08:00.000Z,2326-FIXTURE-NORMAL,good,149,59,2.13,1.62,29.72,23.66
2026-09-08T01:09:00.000Z,2326-FIXTURE-NORMAL,good,148.5,58.9,2.25,1.62,29.18,23.38
2026-09-08T01:10:00.000Z,2326-FIXTURE-NORMAL,good,148.2,58.5,2.37,1.63,28.68,23.03
2026-09-08T01:11:00.000Z,2326-FIXTURE-NORMAL,good,148,57.7,2.48,1.64,28.25,22.64
2026-09-08T01:12:00.000Z,2326-FIXTURE-NORMAL,good,148.1,56.7,2.58,1.66,27.92,22.22
2026-09-08T01:13:00.000Z,2326-FIXTURE-NORMAL,good,148.3,55.6,2.65,1.69,27.7,21.78
2026-09-08T01:14:00.000Z,2326-FIXTURE-NORMAL,good,148.8,54.4,2.69,1.72,27.6,21.36
2026-09-08T01:15:00.000Z,2326-FIXTURE-NORMAL,good,149.4,53.3,2.7,1.75,27.64,20.97
2026-09-08T01:16:00.000Z,2326-FIXTURE-NORMAL,good,150,52.3,2.67,1.78,27.8,20.62
2026-09-08T01:17:00.000Z,2326-FIXTURE-NORMAL,good,150.6,51.5,2.62,1.81,28.07,20.34
2026-09-08T01:18:00.000Z,2326-FIXTURE-NORMAL,good,151.2,51.1,2.53,1.84,28.46,20.14
2026-09-08T01:19:00.000Z,2326-FIXTURE-NORMAL,good,151.7,51,2.43,1.86,28.92,20.03
2026-09-08T01:20:00.000Z,2326-FIXTURE-NORMAL,good,151.9,51.3,2.31,1.87,29.45,20
2026-09-08T01:21:00.000Z,2326-FIXTURE-NORMAL,good,152,51.9,2.19,1.88,30,20.07
2026-09-08T01:22:00.000Z,2326-FIXTURE-NORMAL,good,151.8,52.7,2.07,1.88,30.55,20.23
2026-09-08T01:23:00.000Z,2326-FIXTURE-NORMAL,good,151.5,53.8,1.97,1.87,31.08,20.48
2026-09-08T01:24:00.000Z,2326-FIXTURE-NORMAL,good,151,55,1.88,1.85,31.54,20.79
2026-09-08T01:25:00.000Z,2326-FIXTURE-NORMAL,good,150.3,56.2,1.83,1.83,31.93,21.16
2026-09-08T01:26:00.000Z,2326-FIXTURE-NORMAL,good,149.7,57.3,1.8,1.8,32.2,21.57
2026-09-08T01:27:00.000Z,2326-FIXTURE-NORMAL,good,149,58.1,1.81,1.77,32.36,22
2026-09-08T01:28:00.000Z,2326-FIXTURE-NORMAL,good,148.5,58.7,1.85,1.73,32.4,22.43
