timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T00:00:00.000Z,2328-FIXTURE-SURGE,good,1485,58.8,3.38,0.58,100,46.25
2026-09-08T00:01:00.000Z,2328-FIXTURE-SURGE,good,1542.5,76.1,5.01,0.719,119.86,57.37
2026-09-08T00:02:00.000Z,2328-FIXTURE-SURGE,good,1568.2,83.5,5.69,0.773,127.22,61.27
2026-09-08T00:03:00.000Z,2328-FIXTURE-SURGE,good,1571.1,84.3,5.74,0.774,127,60.88
2026-09-08T00:04:00.000Z,2328-FIXTURE-SURGE,good,1583,88.8,6.21,0.818,133.49,64.6
2026-09-08T00:05:00.000Z,2328-FIXTURE-SURGE,good,1607.8,98.2,7.26,0.915,148.64,73.59
2026-09-08T00:06:00.000Z,2328-FIXTURE-SURGE,good,1613.5,102.3,7.82,0.975,158.61,79.81
2026-09-08T00:07:00.000Z,2328-FIXTURE-SURGE,good,1578.8,93.9,7.18,0.932,153.59,77.52
2026-09-08T00:08:00.000Z,2328-FIXTURE-SURGE,good,1525.4,79.6,5.98,0.841,141.9,71.55
2026-09-08T00:09:00.000Z,2328-FIXTURE-SURGE,good,1489.7,70.5,5.31,0.799,137.77,70.15
2026-09-08T00:10:00.000Z,2328-FIXTURE-SURGE,good,1473.6,67.1,5.16,0.803,140.63,72.93
2026-09-08T00:11:00.000Z,2328-FIXTURE-SURGE,good,1447.7,59.3,4.52,0.76,136.31,71.54
2026-09-08T00:12:00.000Z,2328-FIXTURE-SURGE,good,1399.6,42.8,2.92,0.629,118.35,62.12
2026-09-08T00:13:00.000Z,2328-FIXTURE-SURGE,good,1357.8,26.9,1.27,0.485,98.12,51.2
2026-09-08T00:14:00.000Z,2328-FIXTURE-SURGE,good,1354.6,21.8,0.58,0.421,89,46.5
2026-09-08T00:15:00.000Z,2328-FIXTURE-SURGE,good,1381.5,25.3,0.63,0.414,87.64,46
2026-09-08T00:16:00.000Z,2328-FIXTURE-SURGE,good,1403.6,26.5,0.36,0.37,79.78,41.3
2026-09-08T00:17:00.000Z,2328-FIXTURE-SURGE,good,1409.8,22.5,0.04,0.266,61.99,30.38
2026-09-08T00:18:00.000Z,2328-FIXTURE-SURGE,good,1427,22.6,0.04,0.191,47.54,20.96
2026-09-08T00:19:00.000Z,2328-FIXTURE-SURGE,good,1476.8,34.6,0.04,0.217,47.62,19.57
2026-09-08T00:20:00.000Z,2328-FIXTURE-SURGE,good,1538.6,52.3,1.06,0.299,55.49,22.35
2026-09-08T00:21:00.000Z,2328-FIXTURE-SURGE,good,1574.3,64,1.91,0.339,56.72,20.95
2026-09-08T00:22:00.000Z,2328-FIXTURE-SURGE,good,1578.4,68,2.14,0.329,50.48,14.98
2026-09-08T00:23:00.000Z,2328-FIXTURE-SURGE,good,1580.8,74,2.75,0.36,50.7,12.69
2026-09-08T00:24:00.000Z,2328-FIXTURE-SURGE,good,1599.4,87.3,4.27,0.483,65.42,18.92
