timestamp,device_id,quality,rpm,temperature,vibration,pressure,flow_rate,power_output
2026-09-08T00:00:00.000Z,2328-FIXTURE-NORMAL,good,1450,47.5,2.25,0.48,85,37.5
2026-09-08T00:01:00.000Z,2328-FIXTURE-NORMAL,good,1454.5,48.8,2.37,0.49,86.38,38.25
2026-09-08T00:02:00.000Z,2328-FIXTURE-NORMAL,good,1458.6,50,2.48,0.499,87.69,38.97
2026-09-08T00:03:00.000Z,2328-FIXTURE-NORMAL,good,1461.7,51,2.58,0.507,88.86,39.62
2026-09-08T00:04:00.000Z,2328-FIXTURE-NORMAL,good,1463.6,51.7,2.65,0.514,89.81,40.17
2026-09-08T00:05:00.000Z,2328-FIXTURE-NORMAL,good,1464,52,2.69,0.518,90.51,40.59
2026-09-08T00:06:00.000Z,2328-FIXTURE-NORMAL,good,1462.8,51.9,2.7,0.52,90.91,40.87
2026-09-08T00:07:00.000Z,2328-FIXTURE-NORMAL,good,1460.3,51.4,2.67,0.519,90.99,40.99
2026-09-08T00:08:00.000Z,2328-FIXTURE-NORMAL,good,1456.7,50.6,2.62,0.516,90.75,40.95
2026-09-08T00:09:00.000Z,2328-FIXTURE-NORMAL,good,1452.3,49.5,2.53,0.511,90.2,40.75
2026-09-08T00:10:00.000Z,2328-FIXTURE-NORMAL,good,1447.7,48.2,2.43,0.504,89.36,40.4
2026-09-08T00:11:00.000Z,2328-FIXTURE-NORMAL,good,1443.3,46.8,2.31,0.495,88.3,39.91
2026-09-08T00:12:00.000Z,2328-FIXTURE-NORMAL,good,1439.7,45.5,2.19,0.485,87.05,39.3
2026-09-08T00:13:00.000Z,2328-FIXTURE-NORMAL,good,1437.2,44.4,2.07,0.475,85.7,38.62
2026-09-08T00:14:00.000Z,2328-FIXTURE-NORMAL,good,1436,43.6,1.97,0.465,84.3,37.88
2026-09-08T00:15:00.000Z,2328-FIXTURE-NORMAL,good,1436.4,43.1,1.88,0.456,82.95,37.12
